enhancement_id,enhancement_type,name,description,symbol,bet_type,config,active
1,clv,ML,Closing line value for moneyline bets,,h2h,{},true
2,clv,SPR,Closing line value for spread bets,,spread,{},true
3,clv,O/U,Closing line value for over/under totals,,total,{},true
4,team,Color,Team primary color,,,{},true
5,team,Region,Team geographic region,,,{},true
6,team,Mascot,Team mascot animal or nickname,,,{},true
7,team,Conference,Team conference affiliation,,,{},true
8,edge,Large Stake,Triggered when 3 or more units are wagered on a single bet,batteryblock.stack.fill,,"{""min_units"": 3}",true
9,edge,Consensus Color,Triggered when all bets on a slate share the same color,paint.bucket.classic,,"{""require_same_color"": true}",true
