"enhancement_type","name","description","bet_type","config","active"
"clv","H2H CLV","Closing line value for moneyline bets","h2h","{}","true"
"clv","Spread CLV","Closing line value for spread bets","spread","{}","true"
"clv","Total CLV","Closing line value for over/under totals","total","{}","true"
"team","Color","Team primary color",,{},"true"
"team","Region","Team geographic region",,{},"true"
"team","Mascot","Team mascot animal or nickname",,{},"true"
"team","Conference","Team conference affiliation",,{},"true"
"edge","Large Stake","Triggered when 3 or more units are wagered on a single bet",,"{""min_units"": 3}","true"
"edge","Consensus Color","Triggered when all bets on a slate share the same color",,"{""require_same_color"": true}","true"
