"team_id","league_id","abbr","team_concat","name","location","conf","div","lat","lon","weather"
62806,6,OLD,CBB_OLD,Old Dominion,"Norfolk, VA",SUNB,,36.888800,-76.305702,0
60611,6,OR,CBB_OR,Oregon,"Eugene, OR",B10,,44.058300,-123.069000,0
62702,6,ORAL,CBB_ORAL,Oral Roberts,"Tulsa, OK",SUM,,36.049900,-95.952698,0
63002,6,ORST,CBB_ORST,Oregon State,"Corvallis, OR",WC,,44.559500,-123.280998,0
61503,6,PA,CBB_PA,Pennsylvania,"Philadelphia, PA",IVY,,39.952000,-75.194000,0
63003,6,PAC,CBB_PAC,Pacific,"Stockton, CA",WC,,37.979300,-121.313004,0
63004,6,PEP,CBB_PEP,Pepperdine,"Malibu, CA",WC,,34.041000,-118.709999,0
60311,6,PITT,CBB_PITT,Pittsburgh,"Pittsburgh, PA",ACC,,40.446800,-80.015800,0
61004,6,POST,CBB_POST,Portland State,"Portland, OR",BSKY,,45.510800,-122.683998,0
61504,6,PRIN,CBB_PRIN,Princeton,"Princeton, NJ",IVY,,40.341200,-74.655899,0
60807,6,PROV,CBB_PROV,Providence,"Providence, RI",BEAST,,41.822500,-71.413300,0
60612,6,PSU,CBB_PSU,Penn State,"State College, PA",B10,,40.812200,-77.856201,0
60613,6,PUR,CBB_PUR,Purdue,"West Lafayette, IN",B10,,40.434300,-86.918503,0
60901,6,RAD,CBB_RAD,Radford,"Radford, VA",BS,,37.138500,-80.551300,0
60107,6,RI,CBB_RI,Rhode Island,"Kingston, RI",A10,,41.485800,-71.530899,0
60205,6,RICE,CBB_RICE,Rice,"Houston, TX",AAC,,29.716200,-95.409302,0
60108,6,RICH,CBB_RICH,Richmond,"Richmond, VA",A10,,37.574900,-77.539902,0
61407,6,RM,CBB_RM,Robert Morris,"Pittsburgh, PA",HZ,,40.521700,-80.213699,0
60614,6,RUT,CBB_RUT,Rutgers,"New Brunswick, NJ",B10,,40.513800,-74.464996,0
61304,6,SAM,CBB_SAM,Sam Houston,"Huntsville, TX",CUSA,West,30.713900,-95.541901,0
62504,6,SAMF,CBB_SAMF,Samford,"Birmingham, AL",SO,,33.463900,-86.791100,0
60109,6,SBON,CBB_SBON,St. Bonaventure,"St. Bonaventure, NY",A10,,42.079300,-78.482803,0
62412,6,SC,CBB_SC,South Carolina,"Columbia, SC",SEC,,33.972600,-81.020203,0
61806,6,SCST,CBB_SCST,South Carolina State,"Orangeburg, SC",MEAC,Central,33.498100,-80.850197,0
63005,6,SD,CBB_SD,San Diego,"San Diego, CA",WC,,32.707300,-117.156998,0
62007,6,SDST,CBB_SDST,San Diego State,"San Diego, CA",MTNW,,32.783100,-117.120003,0
62703,6,SDSU,CBB_SDSU,South Dakota State,"Brookings, SD",SUM,,32.783100,-117.120003,0
62203,6,SEMO,CBB_SEMO,Southeast Missouri State,"Cape Girardeau, MO",OVAL,Atlantic,37.314300,-89.528099,0
60808,6,SETH,CBB_SETH,Seton Hall,"South Orange, NJ",BEAST,,40.743100,-74.246803,0
62604,6,SFA,CBB_SFA,Stephen F. Austin,"Nacogdoches, TX",SOLA,,31.621700,-94.647003,0
61605,6,SIEN,CBB_SIEN,Siena,"Loudonville, NY",MAA,Metropolitan,42.718100,-73.752602,0
60110,6,SJ,CBB_SJ,Saint Joseph's,"Philadelphia, PA",A10,,39.995200,-75.241096,0
60809,6,SJON,CBB_SJON,St. John's (NY),"Queens, NY",BEAST,,40.721400,-73.796997,0
60111,6,SL,CBB_SL,Saint Louis,"St. Louis, MO",A10,,38.636100,-90.234802,0
63006,6,SMCA,CBB_SMCA,Saint Mary's (CA),"Moraga, CA",WC,,37.841300,-122.109001,0
60206,6,SMU,CBB_SOME,Southern Methodist,"Dallas, TX",AAC,,32.840200,-96.781601,0
62906,6,SO,CBB_SO,Southern,"Baton Rouge, LA",SWAC,,30.525500,-91.192101,0
61907,6,SOIL,CBB_SOIL,Southern Illinois,"Carbondale, IL",MVAL,East,37.706500,-89.223000,0
62807,6,SOMS,CBB_SOMS,Southern Mississippi,"Hattiesburg, MS",SUNB,,31.329000,-89.331299,0
61606,6,SP,CBB_SP,Saint Peter's,"Jersey City, NJ",MAA,,40.727300,-74.070198,0
60312,6,STAN,CBB_STAN,Stanford,"Stanford, CA",ACC,,37.434700,-122.161003,0
60313,6,SYR,CBB_SYR,Syracuse,"Syracuse, NY",ACC,,43.036100,-76.136497,0
62605,6,TACC,CBB_TACC,Texas A&M-Corpus Christi,"Corpus Christi, TX",SOLA,,27.713100,-97.326401,0
60000,6,TBD,CBB_TBD,Unknown School,,,,,,0
60712,6,TCU,CBB_TCU,TCU,"Fort Worth, TX",B12,,32.709900,-97.367996,0
60207,6,TEMP,CBB_TEMP,Temple,"Philadelphia, PA",AAC,,39.900700,-75.167503,0
62413,6,TN,CBB_TN,Tennessee,"Knoxville, TN",SEC,,35.954700,-83.925301,0
62808,6,TROY,CBB_TROY,Troy,"Troy, AL",SUNB,,31.799500,-85.952202,0
60208,6,TULS,CBB_TULS,Tulsa,"Tulsa, OK",AAC,,36.148900,-95.943604,0
62414,6,TX,CBB_TX,Texas,"Austin, TX",SEC,,30.283600,-97.732300,0
62415,6,TXAM,CBB_TXAM,Texas A&M,"College Station, TX",SEC,,30.610100,-96.340698,0
62907,6,TXSO,CBB_TXSO,Texas Southern,"Houston, TX",SWAC,,29.721100,-95.359596,0
60713,6,TXTC,CBB_TXTC,Texas Tech,"Lubbock, TX",B12,,33.591000,-101.873001,0
