"season_id","league_id","season_concat","pre_dt","reg_start_dt","reg_end_dt","post_start_dt","champ_series_start_dt","champ_dt","yr_var","yr"
602023,6,CBB_2023,2022-11-07,2023-03-04,2023-03-14,,2023-04-03,,"2023",2023
602022,6,CBB_2022,2021-11-09,2022-03-05,2022-03-15,,2022-04-04,,"2022",2022
602021,6,CBB_2021,2020-11-25,2021-03-06,2021-03-18,,2021-04-05,,"2021",2021
602018,6,CBB_2018,2017-11-10,2018-03-04,2018-03-13,,2018-04-02,,"2018",2018
602017,6,CBB_2017,2016-11-11,2017-03-05,2017-03-14,,2017-04-03,,"2017",2017
602016,6,CBB_2016,2015-11-13,2016-03-06,2016-03-15,,2016-04-04,,"2016",2016
602015,6,CBB_2015,2014-11-14,2015-03-07,2015-03-17,,2015-04-06,,"2015",2015
602014,6,CBB_2014,2013-11-08,2014-03-08,2014-03-18,,2014-04-07,,"2014",2014
602013,6,CBB_2013,2012-11-09,2013-03-09,2013-03-19,,2013-04-08,,"2013",2013
302015,3,NHL_2015,2014-09-30,2015-04-11,2015-04-15,,2015-06-03,,"2015",2015
202022,2,NFL_2022,2022-09-08,2023-01-08,2023-01-14,,2023-02-12,,"2022",2022
402023,4,MLB_2023,2023-03-27,2023-10-01,2023-10-03,,2023-10-27,,"2023",2023
402022,4,MLB_2022,2022-04-05,2022-10-05,2022-10-07,,2022-10-28,,"2022",2022
402021,4,MLB_2021,2021-03-29,2021-10-03,2021-10-06,,2021-10-26,,"2021",2021
402020,4,MLB_2020,2020-07-21,2020-09-27,2020-09-30,,2020-10-20,,"2020",2020
302017,3,NHL_2017,2016-10-06,2017-04-09,2017-04-12,,2017-05-29,,"2017",2017
402018,4,MLB_2018,2018-03-26,2018-09-30,2018-10-02,,2018-10-23,,"2018",2018
402017,4,MLB_2017,2017-03-31,2017-10-01,2017-10-04,,2017-10-24,,"2017",2017
402016,4,MLB_2016,2016-04-01,2016-10-02,2016-10-05,,2016-10-25,,"2016",2016
402015,4,MLB_2015,2015-04-03,2015-10-04,2015-10-07,,2015-10-27,,"2015",2015
402019,4,MLB_2019,2019-03-16,2019-09-29,2019-10-01,,2019-10-22,,"2019",2019
302013,3,NHL_2013,2012-10-05,2013-04-28,2013-04-30,,2013-06-12,,"2013",2013
602011,6,CBB_2011,2010-11-08,2011-03-05,2011-03-15,,2011-04-04,,"2011",2011
202011,2,NFL_2011,2011-09-05,2012-01-01,2012-01-07,,2012-02-05,,"2011",2011
202020,2,NFL_2020,2020-09-02,2021-01-03,2021-01-09,,2021-02-07,,"2020",2020
202015,2,NFL_2015,2015-09-02,2016-01-03,2016-01-09,,2016-02-07,,"2015",2015
602012,6,CBB_2012,2011-11-07,2012-03-03,2012-03-13,,2012-04-02,,"2012",2012
602019,6,CBB_2019,2018-11-06,2019-03-10,2019-03-19,,2019-04-08,,"2019",2019
602020,6,CBB_2020,2019-11-05,2020-03-08,2020-03-17,,2020-04-06,,"2020",2020
402024,4,MLB_2024,2024-03-25,2024-09-29,2024-10-01,,2024-10-30,,"2024",2024
502011,5,CFB_2011,2011-09-01,2011-12-03,2011-12-10,,2012-01-09,,"2011",2011
502012,5,CFB_2012,2012-08-30,2012-12-01,2012-12-08,,2013-01-07,,"2012",2012
502013,5,CFB_2013,2013-08-29,2013-12-07,2013-12-14,,2014-01-06,,"2013",2013
502014,5,CFB_2014,2014-08-27,2014-12-06,2014-12-13,,2015-01-12,,"2014",2014
502015,5,CFB_2015,2015-09-03,2015-12-05,2015-12-12,,2016-01-11,,"2015",2015
502016,5,CFB_2016,2016-08-26,2016-12-03,2016-12-10,,2017-01-09,,"2016",2016
502017,5,CFB_2017,2017-08-26,2017-12-02,2017-12-09,,2018-01-08,,"2017",2017
502018,5,CFB_2018,2018-08-25,2018-12-01,2018-12-08,,2019-01-07,,"2018",2018
502019,5,CFB_2019,2019-08-24,2019-12-07,2019-12-20,,2020-01-13,,"2019",2019
